"AREA","CLASSE","DENOMINAZIONE"
"A","LM/SNT1","Scienze infermieristiche e ostetriche"
"A","LM/SNT2","Scienze riabilitative delle professioni sanitarie"
"A","LM/SNT3","Scienze delle professioni sanitarie tecniche"
"A","LM/SNT4","Scienze delle professioni sanitarie della prevenzione"
"B1","LM-17","Fisica"
"B1","LM-18","Informatica"
"B1","LM 10","Conservazione dei beni architettonici e ambientali"
"B1","LM-11","Scienze per la conservazione dei beni culturali"
"B1","LM-40","Matematica"
"B1","LM-44","Modellistica matematico-fisica per l'ingegneria"
"B1","LM-54","Scienze chimiche"
"B1","LM-58","Scienze dell’universo"
"B1","LM-60","Scienze della natura"
"B1","LM-61","Scienze della nutrizione umana"
"B1","LM-66","Sicurezza informatica"
"B1","LM-69","Scienze e tecnologie agrarie"
"B1","LM-7","Biotecnologie agrarie"
"B1","LM-70","Scienze e tecnologie alimentari"
"B1","LM-71","Scienze e tecnologie della chimica industriale"
"B1","LM-73","Scienze e tecnologie forestali ed ambientali"
"B1","LM-74","Scienze e tecnologie geologiche"
"B1","LM-75","Scienze e tecnologie per l’ambiente e il territorio"
"B1","LM-79","Scienze geofisiche"
"B1","LM-8","Biotecnologie industriali"
"B1","LM-82","Scienze statistiche"
"B1","LM-83","Scienze statistiche attuariali e finanziarie"
"B1","LM-86","Scienze zootecniche e tecnologie animali"
"B1","LM-9","Biotecnologie mediche, veterinarie e farmaceutiche"
"B1","LM-91","Tecniche e metodi per la società dell’informazione"
"B1","LM-72","Scienze e tecnologie della navigazione"
"B1","LM Sc. Mat.","Scienza dei materiali"
"B1","LM Data","Data science"
"B1","LM-53*","Ingegneria dei materiali"
"B2","LM-12","Design"
"B2","LM-20","Ingegneria aerospaziale e astronautica"
"B2","LM-21","Ingegneria biomedica"
"B2","LM-22","Ingegneria chimica"
"B2","LM-23","Ingegneria civile"
"B2","LM-24","Ingegneria dei sistemi edilizi"
"B2","LM-25","Ingegneria dell'automazione"
"B2","LM-26","Ingegneria della sicurezza"
"B2","LM-27","Ingegneria delle telecomunicazioni"
"B2","LM-28","Ingegneria elettrica"
"B2","LM-29","Ingegneria elettronica"
"B2","LM-3","Architettura del paesaggio"
"B2","LM-30","Ingegneria energetica e nucleare"
"B2","LM-31","Ingegneria gestionale"
"B2","LM-32","Ingegneria informatica"
"B2","LM-33","Ingegneria meccanica"
"B2","LM-34","Ingegneria navale"
"B2","LM-35","Ingegneria per l'ambiente e il territorio"
"B2","LM-4","Architettura e ingegneria edile-architettura"
"B2","LM-48","Pianificazione territoriale urbanistica e ambientale"
"B2","LM-53**","Scienza e ingegneria dei materiali"
"B2","LM-6","Biologia"
"B2","LM-47","Organizzazione e gestione dei servizi per lo sport e le attività motorie"
"B2","LM-67","Scienze e tecniche delle attività motorie preventive e adattate"
"B2","LM-68","Scienze e tecniche dello sport"
"C","LM-1","Antropologia culturale ed etnologia"
"C","LM-2","Archeologia"
"C","LM-5","Archivistica e biblioteconomia"
"C","LM-14","Filologia moderna"
"C","LM-15","Filologia, letterature e storia dell'antichità"
"C","LM-16","Finanza"
"C","LM-19","Informazione e sistemi editoriali"
"C","LM-36","Lingue e letterature dell'Africa e dell'Asia"
"C","LM-37","Lingue e letterature moderne europee e americane"
"C","LM-38","Lingue moderne per la comunicazione e la cooperazione internazionale"
"C","LM-39","Linguistica"
"C","LM-43","Metodologie informatiche per le discipline umanistiche"
"C","LM-45","Musicologia e beni musicali"
"C","LM-49","Progettazione e gestione dei sistemi turistici"
"C","LM-50","Programmazione e gestione dei servizi educativi"
"C","LM-51","Psicologia"
"C","LM-52","Relazioni internazionali"
"C","LM-55","Scienze cognitive"
"C","LM-56","Scienze dell'economia"
"C","LM-57","Scienze dell'educazione degli adulti e della formazione continua"
"C","LM-59","Scienze della comunicazione pubblica, d'impresa e pubblicità"
"C","LM-62","Scienze della politica"
"C","LM-63","Scienze delle pubbliche amministrazioni"
"C","LM-64","Scienze delle religioni"
"C","LM-65","Scienze dello spettacolo e produzione multimediale"
"C","LM-76","Scienze economiche per l'ambiente e la cultura"
"C","LM-77","Scienze economico-aziendali"
"C","LM-78","Scienze filosofiche"
"C","LM-80","Scienze geografiche"
"C","LM-81","Scienze per la cooperazione allo sviluppo"
"C","LM-84","Scienze storiche"
"C","LM-85","Scienze pedagogiche"
"C","LM-87","Servizio sociale e politiche sociali"
"C","LM-88","Sociologia e ricerca sociale"
"C","LM-89","Storia dell'arte"
"C","LM-90","Studi europei"
"C","LM-92","Teorie della comunicazione"
"C","LM-93","Teorie e metodologie dell'e-learning e della media education"
"C","LM-94","Traduzione specialistica e interpretariato"
"C","LM-DS","Scienze della difesa e della sicurezza"
"C","LM/GASTR","Scienze economiche e sociali della gastronomia"
"C","LM/SC-GIU","Scienze giuridiche"
"A","L/SNT1","Professioni sanitarie, infermieristiche e professione sanitaria ostetrica"
"A","L/SNT2","Professioni sanitarie della riabilitazione"
"A","L/SNT3","Professioni sanitarie tecniche"
"A","L/SNT4","Professioni sanitarie della prevenzione"
"B1","L-2","Biotecnologie"
"B1","L-25","Scienze e tecnologie agrarie e forestali"
"B1","L-26","Scienze e tecnologie alimentari"
"B1","L-27","Scienze e tecnologie chimiche"
"B1","L-30","Scienze e tecnologie fisiche"
"B1","L-32","Scienze e tecnologie per l’ambiente e la natura"
"B1","L-34","Scienze geologiche"
"B1","L-35","Scienze matematiche"
"B1","L-38","Scienze zootecniche e tecnologie delle produzioni animali"
"B1","L-41","Statistica"
"B1","L-43","Diagnostica per la conservazione dei beni culturali"
"B1","L-Sc. Mat.","Scienza dei materiali"
"B2","L-13","Scienze biologiche"
"B2","L-17","Scienze dell'architettura"
"B2","L-21","Scienze della pianificazione territoriale, urbanistica, paesaggistica e ambientale"
"B2","L-22","Scienze delle attività motorie e sportive"
"B2","L-23","Scienze e tecniche dell’edilizia"
"B2","L-28","Scienze e tecnologie della navigazione"
"B2","L-29","Scienze e tecnologie farmaceutiche"
